Source_pop,Treatment,Treat_rep,Ind_rep,Gravid_1_date,Gravid_2_date,Gravid_3_date,Gravid_4_date,Gravid_5_date
Low,LC,3,18,,,,,
Low,LC,4,1,,,,,
Low,LC,4,2,,,,,
Low,LC,4,3,11/14/18,11/16/18,11/19/18,,
Low,LC,4,4,,,,,
Low,LC,4,5,11/3/18,11/3/18,11/3/18,11/4/18,11/4/18
Low,LC,4,6,10/27/18,10/27/18,10/30/18,10/30/18,11/4/18
Low,LC,4,7,10/28/18,10/28/18,10/29/18,10/30/18,
Low,LC,4,8,,,,,
Low,LC,4,9,11/1/18,11/2/18,11/2/18,,
Low,LC,4,10,10/31/18,11/18/18,11/18/18,,
Low,LC,4,11,,,,,
Low,LC,4,12,,,,,
Low,LC,4,13,11/11/18,11/12/18,11/14/18,11/15/18,
Low,LC,4,14,11/15/18,11/18/18,,,
Low,LC,4,15,11/2/18,11/2/18,11/2/18,11/3/18,11/4/18
Low,LC,4,16,11/9/18,11/12/18,11/19/18,,
Low,LC,4,17,11/1/18,11/7/18,11/7/18,11/9/18,
Low,LC,4,18,11/13/18,11/13/18,11/14/18,11/14/18,11/14/18
Low,LC,5,1,,,,,
Low,LC,5,2,11/4/18,11/6/18,11/6/18,11/8/18,11/9/18
Low,LC,5,3,10/31/18,11/3/18,11/5/18,,
Low,LC,5,4,,,,,
Low,LC,5,5,11/8/18,11/8/18,11/10/18,,
Low,LC,5,6,10/28/18,10/31/18,11/4/18,11/9/18,
Low,LC,5,7,11/18/18,,,,
Low,LC,5,8,,,,,
Low,LC,5,9,,,,,
Low,LC,5,10,,,,,
Low,LC,5,11,10/26/18,10/28/18,10/28/18,,
Low,LC,5,12,10/23/18,10/26/18,10/26/18,,
Low,LC,5,13,,,,,
Low,LC,5,14,11/8/18,11/9/18,11/9/18,11/11/18,
Low,LC,5,15,11/18/18,11/25/18,,,
Low,LC,5,16,10/29/18,10/29/18,10/31/18,,
Low,LC,5,17,,,,,
Low,LC,5,18,,,,,
Low,LC,5,19,11/2/18,11/2/18,11/3/18,11/3/18,
Low,LC,5,20,11/8/18,11/8/18,11/9/18,11/14/18,
High,LC,1,1,,,,,
High,LC,1,2,10/30/18,11/1/18,11/3/18,,
High,LC,1,3,11/5/18,11/5/18,11/8/18,11/10/18,
High,LC,1,4,,,,,
High,LC,1,5,,,,,
High,LC,1,6,,,,,
High,LC,1,7,,,,,
High,LC,1,8,10/31/18,11/3/18,,,
High,LC,1,9,,,,,
High,LC,1,10,,,,,
High,LC,1,11,11/1/18,,,,
High,LC,1,12,,,,,
High,LC,1,13,,,,,
High,LC,1,14,,,,,
High,LC,1,15,,,,,
High,LC,1,16,,,,,
High,LC,1,17,11/4/18,,,,
High,LC,1,18,,,,,
High,LC,1,19,,,,,
High,LC,1,20,,,,,
High,LC,1,21,,,,,
High,LC,1,22,,,,,
High,LC,1,23,,,,,
High,LC,2,1,10/31/18,10/31/18,11/3/18,,
High,LC,2,2,11/2/18,11/2/18,,,
High,LC,2,3,,,,,
High,LC,2,4,,,,,
High,LC,2,5,11/7/18,11/8/18,11/11/18,11/11/18,
High,LC,2,6,11/7/18,,,,
High,LC,2,7,,,,,
High,LC,2,8,11/3/18,,,,
High,LC,2,9,11/1/18,,,,
High,LC,2,10,,,,,
High,LC,2,11,,,,,
High,LC,2,12,,,,,
High,LC,2,13,10/28/18,10/30/18,10/31/18,10/31/18,
High,LC,2,14,,,,,
High,LC,2,15,,,,,
High,LC,2,16,,,,,
High,LC,2,17,,,,,
High,LC,2,18,10/27/18,10/30/18,10/30/18,10/30/18,11/5/18
High,LC,3,1,,,,,
High,LC,3,2,,,,,
High,LC,3,3,,,,,
High,LC,3,4,,,,,
High,LC,3,5,,,,,
High,LC,3,6,,,,,
High,LC,3,7,,,,,
High,LC,3,8,,,,,
High,LC,3,9,,,,,
High,LC,3,10,10/31/18,,,,
High,LC,3,11,,,,,
High,LC,3,12,,,,,
High,LC,3,13,,,,,
High,LC,3,14,,,,,
High,LC,3,15,11/10/18,11/19/18,11/20/18,,
High,LC,3,16,,,,,
High,LC,3,17,,,,,
High,LC,3,18,,,,,
High,LC,3,19,,,,,
High,LC,4,1,,,,,
High,LC,4,2,,,,,
High,LC,4,3,,,,,
High,LC,4,4,,,,,
High,LC,4,5,,,,,
High,LC,4,6,,,,,
High,LC,4,7,,,,,
High,LC,4,8,,,,,
High,LC,4,9,,,,,
High,LC,4,10,,,,,
High,LC,4,11,,,,,
High,LC,4,12,,,,,
High,LC,4,13,,,,,
High,LC,4,14,11/11/18,,,,
High,LC,4,15,11/15/18,,,,
High,LC,4,16,,,,,
High,LC,4,17,10/27/18,11/10/18,,,
High,LC,4,18,,,,,
High,LC,4,19,,,,,
High,LC,4,20,,,,,
Low,L,1,1,10/31/18,,,,
Low,L,1,2,10/26/18,10/31/18,,,
Low,L,1,3,,,,,
Low,L,1,4,,,,,
Low,L,1,5,11/14/18,,,,
Low,L,1,6,,,,,
Low,L,1,7,10/29/18,11/12/18,11/18/18,,
Low,L,1,8,,,,,
Low,L,1,9,,,,,
Low,L,1,10,10/30/18,10/31/18,11/3/18,,
Low,L,1,11,,,,,
Low,L,1,12,11/18/18,,,,
Low,L,1,13,10/29/18,10/31/18,10/31/18,10/31/18,10/31/18
Low,L,1,14,,,,,
Low,L,1,15,10/25/18,10/25/18,10/25/18,10/31/18,
Low,L,1,16,10/30/18,11/3/18,11/4/18,11/7/18,
Low,L,1,17,,,,,
Low,L,1,18,,,,,
Low,L,1,19,10/28/18,10/31/18,10/31/18,,
Low,L,1,20,10/26/18,10/27/18,11/2/18,11/2/18,11/2/18
Low,L,3,1,,,,,
Low,L,3,2,10/31/18,10/31/18,,,
Low,L,3,3,,,,,
Low,L,3,4,,,,,
Low,L,3,5,10/30/18,10/30/18,10/30/18,10/30/18,11/2/18
Low,L,3,6,,,,,
Low,L,3,7,11/5/18,11/6/18,11/9/18,,
Low,L,3,8,,,,,
Low,L,3,9,,,,,
Low,L,3,10,10/30/18,10/30/18,,,
Low,L,3,11,,,,,
Low,L,3,12,,,,,
Low,L,3,13,11/2/18,11/2/18,11/8/18,,
Low,L,3,14,11/2/18,11/7/18,,,
Low,L,3,15,,,,,
Low,L,3,16,10/30/18,10/30/18,11/1/18,11/3/18,
Low,L,3,17,,,,,
Low,L,3,18,10/27/18,10/27/18,,,
Low,L,4,1,11/15/18,,,,
Low,L,4,2,11/25/18,11/25/18,,,
Low,L,4,3,10/25/18,10/25/18,,,
Low,L,4,4,,,,,
Low,L,4,5,11/3/18,,,,
Low,L,4,6,,,,,
Low,L,4,7,,,,,
Low,L,4,8,,,,,
Low,L,4,9,11/2/18,,,,
